,CaseNo,CaseTitle,Pertains,Justice,Vote,Appellant,Appellee
167,22-49,Lora v. United States,Act ,Elena Kagan,Majority,Lora,United States
168,22-49,Lora v. United States,Act ,Neil Gorsuch,Majority,Lora,United States
169,22-49,Lora v. United States,Act ,Brett M. Kavanaugh,Majority,Lora,United States
170,22-49,Lora v. United States,Act ,Amy Coney Barrett,Majority,Lora,United States
171,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Ketanji Brown Jackson,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
172,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,"John G. Roberts, Jr.",Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
173,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Clarence Thomas,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
174,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,"Samuel A. Alito, Jr.",Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
175,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Sonia Sotomayor,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
176,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Elena Kagan,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
177,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Neil Gorsuch,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
178,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Brett M. Kavanaugh,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
179,21-1270,MOAC Mall Holdings LLC v. Transform Holdco LLC,Section ,Amy Coney Barrett,Majority,MOAC Mall Holdings LLC,Transform Holdco LLC
180,21-468,National Pork Producers Council v. Ross,Clause ,Neil Gorsuch,Majority,National Pork Producers Council,Ross
181,21-468,National Pork Producers Council v. Ross,Clause ,Clarence Thomas,Majority,National Pork Producers Council,Ross
182,21-468,National Pork Producers Council v. Ross,Clause ,Sonia Sotomayor,Majority,National Pork Producers Council,Ross
183,21-468,National Pork Producers Council v. Ross,Clause ,Elena Kagan,Majority,National Pork Producers Council,Ross
184,21-468,National Pork Producers Council v. Ross,Clause ,Amy Coney Barrett,Majority,National Pork Producers Council,Ross
185,21-468,National Pork Producers Council v. Ross,Clause ,"John G. Roberts, Jr.",Minority,National Pork Producers Council,Ross
186,21-468,National Pork Producers Council v. Ross,Clause ,"Samuel A. Alito, Jr.",Minority,National Pork Producers Council,Ross
187,21-468,National Pork Producers Council v. Ross,Clause ,Brett M. Kavanaugh,Minority,National Pork Producers Council,Ross
188,21-468,National Pork Producers Council v. Ross,Clause ,Ketanji Brown Jackson,Minority,National Pork Producers Council,Ross
189,156-orig,New York v. New Jersey,Clause ,Brett M. Kavanaugh,Majority,New York,New Jersey
190,156-orig,New York v. New Jersey,Clause ,"John G. Roberts, Jr.",Majority,New York,New Jersey
191,156-orig,New York v. New Jersey,Clause ,Clarence Thomas,Majority,New York,New Jersey
192,156-orig,New York v. New Jersey,Clause ,Sonia Sotomayor,Majority,New York,New Jersey
193,156-orig,New York v. New Jersey,Clause ,"Samuel A. Alito, Jr.",Majority,New York,New Jersey
194,156-orig,New York v. New Jersey,Clause ,Elena Kagan,Majority,New York,New Jersey
195,156-orig,New York v. New Jersey,Clause ,Neil Gorsuch,Majority,New York,New Jersey
196,156-orig,New York v. New Jersey,Clause ,Amy Coney Barrett,Majority,New York,New Jersey
197,156-orig,New York v. New Jersey,Clause ,Ketanji Brown Jackson,Majority,New York,New Jersey
198,21-1158,Percoco v. United States,Clause ,"Samuel A. Alito, Jr.",Majority,Percoco,United States
199,21-1158,Percoco v. United States,Clause ,"John G. Roberts, Jr.",Majority,Percoco,United States
200,21-1158,Percoco v. United States,Clause ,Clarence Thomas,Majority,Percoco,United States
201,21-1158,Percoco v. United States,Clause ,Sonia Sotomayor,Majority,Percoco,United States
202,21-1158,Percoco v. United States,Clause ,Elena Kagan,Majority,Percoco,United States
203,21-1158,Percoco v. United States,Clause ,Neil Gorsuch,Majority,Percoco,United States
204,21-1158,Percoco v. United States,Clause ,Brett M. Kavanaugh,Majority,Percoco,United States
205,21-1158,Percoco v. United States,Clause ,Amy Coney Barrett,Majority,Percoco,United States
206,21-1158,Percoco v. United States,Clause ,Ketanji Brown Jackson,Majority,Percoco,United States
207,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Neil Gorsuch,Majority,Perez,"Sturgis Public Schools, et al."
208,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,"John G. Roberts, Jr.",Majority,Perez,"Sturgis Public Schools, et al."
209,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Clarence Thomas,Majority,Perez,"Sturgis Public Schools, et al."
210,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,"Samuel A. Alito, Jr.",Majority,Perez,"Sturgis Public Schools, et al."
211,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Sonia Sotomayor,Majority,Perez,"Sturgis Public Schools, et al."
212,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Elena Kagan,Majority,Perez,"Sturgis Public Schools, et al."
213,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Brett M. Kavanaugh,Majority,Perez,"Sturgis Public Schools, et al."
214,21-887,"Perez v. Sturgis Public Schools, et al.",Act ,Amy Coney Barrett,Majority,Perez,"Sturgis Public Schools, et al."
215,21-1599,Polselli v. Internal Revenue Service,Act ,"John G. Roberts, Jr.",Majority,Polselli,Internal Revenue Service
216,21-1599,Polselli v. Internal Revenue Service,Act ,Clarence Thomas,Majority,Polselli,Internal Revenue Service
217,21-1599,Polselli v. Internal Revenue Service,Act ,"Samuel A. Alito, Jr.",Majority,Polselli,Internal Revenue Service
218,21-1599,Polselli v. Internal Revenue Service,Act ,Sonia Sotomayor,Majority,Polselli,Internal Revenue Service
219,21-1599,Polselli v. Internal Revenue Service,Act ,Elena Kagan,Majority,Polselli,Internal Revenue Service
220,21-1599,Polselli v. Internal Revenue Service,Act ,Neil Gorsuch,Majority,Polselli,Internal Revenue Service
221,21-1599,Polselli v. Internal Revenue Service,Act ,Brett M. Kavanaugh,Majority,Polselli,Internal Revenue Service
222,21-1599,Polselli v. Internal Revenue Service,Act ,Amy Coney Barrett,Majority,Polselli,Internal Revenue Service
223,21-1599,Polselli v. Internal Revenue Service,Act ,Ketanji Brown Jackson,Majority,Polselli,Internal Revenue Service
224,21-442,Reed v. Goertz,Act ,Brett M. Kavanaugh,Majority,Reed,Goertz
225,21-442,Reed v. Goertz,Act ,"John G. Roberts, Jr.",Majority,Reed,Goertz
226,21-442,Reed v. Goertz,Act ,Clarence Thomas,Minority,Reed,Goertz
227,21-442,Reed v. Goertz,Act ,"Samuel A. Alito, Jr.",Minority,Reed,Goertz
228,21-442,Reed v. Goertz,Act ,Neil Gorsuch,Minority,Reed,Goertz
229,21-442,Reed v. Goertz,Act ,Sonia Sotomayor,Majority,Reed,Goertz
230,21-442,Reed v. Goertz,Act ,Elena Kagan,Majority,Reed,Goertz
231,21-442,Reed v. Goertz,Act ,Amy Coney Barrett,Majority,Reed,Goertz
232,21-442,Reed v. Goertz,Act ,Ketanji Brown Jackson,Majority,Reed,Goertz
233,21-454,Sackett v. Environmental Protection Agency,Act ,"Samuel A. Alito, Jr.",Majority,Sackett,Environmental Protection Agency
234,21-454,Sackett v. Environmental Protection Agency,Act ,"John G. Roberts, Jr.",Majority,Sackett,Environmental Protection Agency
235,21-454,Sackett v. Environmental Protection Agency,Act ,Clarence Thomas,Majority,Sackett,Environmental Protection Agency
236,21-454,Sackett v. Environmental Protection Agency,Act ,Sonia Sotomayor,Minority,Sackett,Environmental Protection Agency
237,21-454,Sackett v. Environmental Protection Agency,Act ,Elena Kagan,Minority,Sackett,Environmental Protection Agency
238,21-454,Sackett v. Environmental Protection Agency,Act ,Neil Gorsuch,Majority,Sackett,Environmental Protection Agency
239,21-454,Sackett v. Environmental Protection Agency,Act ,Brett M. Kavanaugh,Minority,Sackett,Environmental Protection Agency
240,21-454,Sackett v. Environmental Protection Agency,Act ,Amy Coney Barrett,Majority,Sackett,Environmental Protection Agency
241,21-454,Sackett v. Environmental Protection Agency,Act ,Ketanji Brown Jackson,Minority,Sackett,Environmental Protection Agency
242,21-1436,Santos-Zacaria v. Garland,Clause ,Ketanji Brown Jackson,Majority,Santos-Zacaria,Garland
243,21-1436,Santos-Zacaria v. Garland,Clause ,"John G. Roberts, Jr.",Majority,Santos-Zacaria,Garland
244,21-1436,Santos-Zacaria v. Garland,Clause ,Sonia Sotomayor,Majority,Santos-Zacaria,Garland
245,21-1436,Santos-Zacaria v. Garland,Clause ,Elena Kagan,Majority,Santos-Zacaria,Garland
246,21-1436,Santos-Zacaria v. Garland,Clause ,Neil Gorsuch,Majority,Santos-Zacaria,Garland
247,21-1436,Santos-Zacaria v. Garland,Clause ,Brett M. Kavanaugh,Majority,Santos-Zacaria,Garland
248,21-1436,Santos-Zacaria v. Garland,Clause ,Amy Coney Barrett,Majority,Santos-Zacaria,Garland
249,21-1436,Santos-Zacaria v. Garland,Clause ,"Samuel A. Alito, Jr.",Majority,Santos-Zacaria,Garland
250,21-1436,Santos-Zacaria v. Garland,Clause ,Clarence Thomas,Majority,Santos-Zacaria,Garland
251,22-200,Slack Technologies v. Pirani,Act ,Neil Gorsuch,Majority,Slack Technologies,Pirani
252,22-200,Slack Technologies v. Pirani,Act ,"John G. Roberts, Jr.",Majority,Slack Technologies,Pirani
253,22-200,Slack Technologies v. Pirani,Act ,Clarence Thomas,Majority,Slack Technologies,Pirani
254,22-200,Slack Technologies v. Pirani,Act ,"Samuel A. Alito, Jr.",Majority,Slack Technologies,Pirani
255,22-200,Slack Technologies v. Pirani,Act ,Sonia Sotomayor,Majority,Slack Technologies,Pirani
256,22-200,Slack Technologies v. Pirani,Act ,Elena Kagan,Majority,Slack Technologies,Pirani
257,22-200,Slack Technologies v. Pirani,Act ,Brett M. Kavanaugh,Majority,Slack Technologies,Pirani
258,22-200,Slack Technologies v. Pirani,Act ,Amy Coney Barrett,Majority,Slack Technologies,Pirani
259,22-200,Slack Technologies v. Pirani,Act ,Ketanji Brown Jackson,Majority,Slack Technologies,Pirani
260,21-1576,Smith v. United States,Act ,"Samuel A. Alito, Jr.",Majority,Smith,United States
261,21-1576,Smith v. United States,Act ,"John G. Roberts, Jr.",Majority,Smith,United States
262,21-1576,Smith v. United States,Act ,Clarence Thomas,Majority,Smith,United States
263,21-1576,Smith v. United States,Act ,Sonia Sotomayor,Majority,Smith,United States
264,21-1576,Smith v. United States,Act ,Elena Kagan,Majority,Smith,United States
265,21-1576,Smith v. United States,Act ,Neil Gorsuch,Majority,Smith,United States
266,21-1576,Smith v. United States,Act ,Brett M. Kavanaugh,Majority,Smith,United States
267,21-1576,Smith v. United States,Act ,Amy Coney Barrett,Majority,Smith,United States
268,21-1576,Smith v. United States,Act ,Ketanji Brown Jackson,Majority,Smith,United States
269,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,Clarence Thomas,Majority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
270,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,"John G. Roberts, Jr.",Majority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
271,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,"Samuel A. Alito, Jr.",Minority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
272,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,Sonia Sotomayor,Majority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
273,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,Elena Kagan,Majority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
274,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,Neil Gorsuch,Minority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
275,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,Brett M. Kavanaugh,Majority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
276,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,Amy Coney Barrett,Majority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
277,21-1454,The Ohio Adjutant General’s Department v. Federal Labor Relations Authority,Act ,Ketanji Brown Jackson,Majority,The Ohio Adjutant General’s Department,Federal Labor Relations Authority
278,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Brett M. Kavanaugh,Majority,Turkiye Halk Bankasi A.S.,United States
279,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,"John G. Roberts, Jr.",Majority,Turkiye Halk Bankasi A.S.,United States
280,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Clarence Thomas,Majority,Turkiye Halk Bankasi A.S.,United States
281,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,"Samuel A. Alito, Jr.",Minority,Turkiye Halk Bankasi A.S.,United States
282,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Neil Gorsuch,Minority,Turkiye Halk Bankasi A.S.,United States
283,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Sonia Sotomayor,Majority,Turkiye Halk Bankasi A.S.,United States
284,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Elena Kagan,Majority,Turkiye Halk Bankasi A.S.,United States
285,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Amy Coney Barrett,Majority,Turkiye Halk Bankasi A.S.,United States
286,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Ketanji Brown Jackson,Majority,Turkiye Halk Bankasi A.S.,United States
287,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Brett M. Kavanaugh,Majority,Turkiye Halk Bankasi A.S.,United States
288,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,"John G. Roberts, Jr.",Majority,Turkiye Halk Bankasi A.S.,United States
289,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Clarence Thomas,Majority,Turkiye Halk Bankasi A.S.,United States
290,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,"Samuel A. Alito, Jr.",Majority,Turkiye Halk Bankasi A.S.,United States
291,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Sonia Sotomayor,Majority,Turkiye Halk Bankasi A.S.,United States
292,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Elena Kagan,Majority,Turkiye Halk Bankasi A.S.,United States
293,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Neil Gorsuch,Majority,Turkiye Halk Bankasi A.S.,United States
294,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Amy Coney Barrett,Majority,Turkiye Halk Bankasi A.S.,United States
295,21-1450,Turkiye Halk Bankasi A.S. v. United States,Act ,Ketanji Brown Jackson,Majority,Turkiye Halk Bankasi A.S.,United States
296,21-1496,"Twitter, Inc. v. Taamneh",Section ,Clarence Thomas,Majority,"Twitter, Inc.",Taamneh
297,21-1496,"Twitter, Inc. v. Taamneh",Section ,"John G. Roberts, Jr.",Majority,"Twitter, Inc.",Taamneh
298,21-1496,"Twitter, Inc. v. Taamneh",Section ,"Samuel A. Alito, Jr.",Majority,"Twitter, Inc.",Taamneh
299,21-1496,"Twitter, Inc. v. Taamneh",Section ,Sonia Sotomayor,Majority,"Twitter, Inc.",Taamneh
300,21-1496,"Twitter, Inc. v. Taamneh",Section ,Elena Kagan,Majority,"Twitter, Inc.",Taamneh
301,21-1496,"Twitter, Inc. v. Taamneh",Section ,Neil Gorsuch,Majority,"Twitter, Inc.",Taamneh
302,21-1496,"Twitter, Inc. v. Taamneh",Section ,Brett M. Kavanaugh,Majority,"Twitter, Inc.",Taamneh
303,21-1496,"Twitter, Inc. v. Taamneh",Section ,Amy Coney Barrett,Majority,"Twitter, Inc.",Taamneh
304,21-1496,"Twitter, Inc. v. Taamneh",Section ,Ketanji Brown Jackson,Majority,"Twitter, Inc.",Taamneh
305,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,"John G. Roberts, Jr.",Majority,Tyler,"Hennepin County, Minnesota"
306,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,Clarence Thomas,Majority,Tyler,"Hennepin County, Minnesota"
307,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,"Samuel A. Alito, Jr.",Majority,Tyler,"Hennepin County, Minnesota"
308,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,Sonia Sotomayor,Majority,Tyler,"Hennepin County, Minnesota"
309,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,Elena Kagan,Majority,Tyler,"Hennepin County, Minnesota"
310,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,Neil Gorsuch,Majority,Tyler,"Hennepin County, Minnesota"
311,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,Brett M. Kavanaugh,Majority,Tyler,"Hennepin County, Minnesota"
312,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,Amy Coney Barrett,Majority,Tyler,"Hennepin County, Minnesota"
313,22-166,"Tyler v. Hennepin County, Minnesota",Clause ,Ketanji Brown Jackson,Majority,Tyler,"Hennepin County, Minnesota"
314,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,Clarence Thomas,Majority,U.S. ex rel. Schutte,SuperValu Inc.
315,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,"John G. Roberts, Jr.",Majority,U.S. ex rel. Schutte,SuperValu Inc.
316,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,"Samuel A. Alito, Jr.",Majority,U.S. ex rel. Schutte,SuperValu Inc.
317,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,Sonia Sotomayor,Majority,U.S. ex rel. Schutte,SuperValu Inc.
318,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,Elena Kagan,Majority,U.S. ex rel. Schutte,SuperValu Inc.
319,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,Neil Gorsuch,Majority,U.S. ex rel. Schutte,SuperValu Inc.
320,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,Brett M. Kavanaugh,Majority,U.S. ex rel. Schutte,SuperValu Inc.
321,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,Amy Coney Barrett,Majority,U.S. ex rel. Schutte,SuperValu Inc.
322,21-1326,U.S. ex rel. Schutte v. SuperValu Inc.,Act ,Ketanji Brown Jackson,Majority,U.S. ex rel. Schutte,SuperValu Inc.
323,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,Elena Kagan,Majority,"U.S., ex rel. Polansky",Executive Health Resources
324,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,"John G. Roberts, Jr.",Majority,"U.S., ex rel. Polansky",Executive Health Resources
325,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,Clarence Thomas,Minority,"U.S., ex rel. Polansky",Executive Health Resources
326,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,Sonia Sotomayor,Majority,"U.S., ex rel. Polansky",Executive Health Resources
327,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,Neil Gorsuch,Majority,"U.S., ex rel. Polansky",Executive Health Resources
328,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,Brett M. Kavanaugh,Majority,"U.S., ex rel. Polansky",Executive Health Resources
329,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,Amy Coney Barrett,Majority,"U.S., ex rel. Polansky",Executive Health Resources
330,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,Ketanji Brown Jackson,Majority,"U.S., ex rel. Polansky",Executive Health Resources
331,21-1052,"U.S., ex rel. Polansky v. Executive Health Resources",Act ,"Samuel A. Alito, Jr.",Majority,"U.S., ex rel. Polansky",Executive Health Resources
332,21-1164,Wilkins v. United States,Act ,Sonia Sotomayor,Majority,Wilkins,United States
333,21-1164,Wilkins v. United States,Act ,Elena Kagan,Majority,Wilkins,United States
334,21-1164,Wilkins v. United States,Act ,Neil Gorsuch,Majority,Wilkins,United States
335,21-1164,Wilkins v. United States,Act ,Brett M. Kavanaugh,Majority,Wilkins,United States
336,21-1164,Wilkins v. United States,Act ,Amy Coney Barrett,Majority,Wilkins,United States
337,21-1164,Wilkins v. United States,Act ,Ketanji Brown Jackson,Majority,Wilkins,United States
338,21-1164,Wilkins v. United States,Act ,Clarence Thomas,Minority,Wilkins,United States
339,21-1164,Wilkins v. United States,Act ,"John G. Roberts, Jr.",Minority,Wilkins,United States
340,21-1164,Wilkins v. United States,Act ,"Samuel A. Alito, Jr.",Minority,Wilkins,United States
